время,пользователь,сессия,событие,канал,устройство,категория,выручка,количество
2024-10-19 22:35:00,13568,7245,покупка,поиск,мобильный,Канцелярия,343.0,2.0
2024-10-06 06:53:00,11129,6483,просмотр,соцсети,десктоп,Канцелярия,,
2024-10-30 10:56:00,10627,88,просмотр,поиск,десктоп,Комиксы,,
2024-10-04 01:47:00,10945,273,оформление,рассылка,мобильный,Комиксы,,
2024-10-21 12:16:00,14103,11621,корзина,рассылка,мобильный,Книги,,
2024-10-16 10:10:00,11215,10768,визит,поиск,десктоп,Книги,,
2024-10-27 21:37:00,14038,5585,визит,реклама,мобильный,Канцелярия,,
2024-10-28 00:34:00,10227,3674,корзина,рассылка,мобильный,Книги,,
2024-09-20 14:25:00,13408,4088,визит,соцсети,мобильный,Книги,,
2024-10-04 04:28:00,10506,5155,просмотр,реклама,мобильный,Книги,,
2024-10-02 11:33:00,12530,6986,визит,поиск,десктоп,Подарки,,
2024-11-04 19:43:00,10320,4824,визит,рассылка,десктоп,Комиксы,,
2024-10-08 08:11:00,14114,1345,просмотр,поиск,мобильный,Книги,,
2024-09-28 05:16:00,13462,1402,визит,реклама,десктоп,Книги,,
2024-11-06 02:58:00,10628,8521,просмотр,соцсети,десктоп,Книги,,
2024-10-09 04:47:00,13888,5787,корзина,поиск,десктоп,Настольные игры,,
2024-09-17 19:26:00,12804,11312,просмотр,реклама,мобильный,Подарки,,
2024-10-07 23:20:00,10112,10171,корзина,рассылка,мобильный,Книги,,
2024-11-10 05:29:00,14186,10629,визит,соцсети,мобильный,Комиксы,,
2024-09-04 02:35:00,12130,3771,визит,поиск,мобильный,Книги,,
2024-10-31 13:13:00,10631,6548,визит,рассылка,мобильный,Комиксы,,
2024-10-27 09:10:00,13003,8588,просмотр,реклама,десктоп,Подарки,,
2024-10-25 18:24:00,13351,6415,визит,рассылка,мобильный,Подарки,,
2024-09-27 06:24:00,10607,4962,корзина,рассылка,десктоп,Комиксы,,
2024-10-01 14:09:00,12215,11971,просмотр,реклама,мобильный,Книги,,
2024-11-25 00:36:00,11795,11112,просмотр,поиск,мобильный,Канцелярия,,
2024-10-15 18:50:00,12314,8373,визит,поиск,мобильный,Настольные игры,,
2024-09-04 11:11:00,13993,2999,визит,соцсети,мобильный,Книги,,
2024-09-22 06:10:00,12332,3087,просмотр,соцсети,десктоп,Комиксы,,
2024-11-04 01:22:00,10864,989,корзина,поиск,десктоп,Канцелярия,,
2024-09-02 21:23:00,12926,7015,оформление,реклама,мобильный,Подарки,,
2024-09-22 11:29:00,10274,386,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-20 22:40:00,11049,5361,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-18 01:18:00,12614,7381,оформление,,мобильный,Настольные игры,,
2024-10-01 04:36:00,14193,7089,оформление,поиск,десктоп,Настольные игры,,
2024-11-12 10:27:00,11470,9449,визит,реклама,десктоп,Книги,,
2024-09-16 01:59:00,11802,7147,корзина,поиск,десктоп,Книги,,
2024-09-09 15:38:00,13472,8416,корзина,рассылка,мобильный,Канцелярия,,
2024-10-08 00:41:00,13737,679,визит,соцсети,мобильный,Книги,,
2024-10-26 04:36:00,13159,1924,визит,рассылка,мобильный,Книги,,
2024-11-04 17:31:00,13962,4018,визит,соцсети,десктоп,Канцелярия,,
2024-11-13 20:17:00,10420,4179,визит,соцсети,мобильный,Подарки,,
2024-09-10 05:09:00,10990,9113,просмотр,соцсети,десктоп,Книги,,
2024-10-28 02:30:00,12751,9332,просмотр,поиск,мобильный,Подарки,,
2024-09-06 15:52:00,13605,7263,оформление,реклама,десктоп,Настольные игры,,
2024-09-08 12:34:00,12071,3828,корзина,поиск,десктоп,Подарки,,
2024-10-03 11:24:00,10009,11459,визит,рассылка,десктоп,Книги,,
2024-11-20 02:59:00,10553,7055,визит,реклама,десктоп,Книги,,
2024-09-23 14:02:00,10676,8721,просмотр,реклама,десктоп,Подарки,,
2024-10-14 18:18:00,11143,4576,просмотр,реклама,мобильный,Подарки,,
2024-10-17 19:32:00,13942,8014,просмотр,реклама,мобильный,Настольные игры,,
2024-09-25 04:46:00,13018,7347,визит,реклама,десктоп,Канцелярия,,
2024-09-06 10:24:00,11578,9834,корзина,соцсети,мобильный,Комиксы,,
2024-10-10 12:58:00,11786,1483,просмотр,реклама,десктоп,Канцелярия,,
2024-10-23 20:50:00,10420,4810,просмотр,рассылка,десктоп,Книги,,
2024-11-02 00:55:00,12497,5379,визит,поиск,десктоп,Настольные игры,,
2024-11-09 16:54:00,11118,3212,просмотр,поиск,мобильный,Книги,,
2024-10-15 09:38:00,11363,5863,просмотр,соцсети,мобильный,Книги,,
2024-11-02 16:37:00,12586,1221,корзина,поиск,десктоп,Настольные игры,,
2024-10-27 03:50:00,11616,552,просмотр,реклама,мобильный,Подарки,,
2024-09-10 04:33:00,11826,4076,корзина,поиск,мобильный,Канцелярия,,
2024-11-02 14:45:00,13481,6499,корзина,рассылка,десктоп,Подарки,,
2024-10-10 14:55:00,12967,3037,визит,,мобильный,Подарки,,
2024-09-29 10:28:00,11374,1484,корзина,рассылка,мобильный,Настольные игры,,
2024-09-11 14:25:00,13355,4744,просмотр,поиск,мобильный,Книги,,
2024-09-11 06:53:00,10638,8596,покупка,рассылка,десктоп,Подарки,6203.0,3.0
2024-09-27 18:05:00,11567,9529,оформление,поиск,мобильный,Книги,,
2024-09-06 01:58:00,10945,3780,просмотр,поиск,мобильный,Книги,,
2024-09-10 19:37:00,13341,11851,просмотр,реклама,десктоп,Книги,,
2024-09-09 11:57:00,14124,8642,визит,реклама,десктоп,Комиксы,,
2024-11-07 03:24:00,11533,1961,просмотр,рассылка,мобильный,Канцелярия,,
2024-09-22 07:19:00,11700,6444,визит,реклама,мобильный,Книги,,
2024-10-18 14:31:00,11158,6409,просмотр,реклама,мобильный,Настольные игры,,
2024-11-28 01:32:00,13134,10549,визит,,мобильный,Канцелярия,,
2024-11-24 11:24:00,13325,2594,покупка,рассылка,десктоп,Канцелярия,225.0,1.0
2024-09-08 15:22:00,11222,4093,визит,реклама,мобильный,Книги,,
2024-09-02 21:40:00,11962,4954,покупка,поиск,десктоп,Книги,503.0,1.0
2024-11-14 17:06:00,11208,4705,визит,соцсети,мобильный,Канцелярия,,
2024-10-28 10:26:00,11838,8152,визит,,десктоп,Комиксы,,
2024-11-29 05:34:00,10661,4061,просмотр,поиск,десктоп,Подарки,,
2024-11-17 13:31:00,10238,3775,визит,поиск,десктоп,Канцелярия,,
2024-09-29 16:51:00,13019,3001,просмотр,реклама,десктоп,Книги,,
2024-11-11 00:25:00,11069,9796,визит,реклама,мобильный,Книги,,
2024-10-04 05:01:00,11349,8516,визит,соцсети,мобильный,Книги,,
2024-10-28 16:03:00,13730,10863,визит,реклама,мобильный,Комиксы,,
2024-09-14 05:06:00,11679,8383,визит,поиск,мобильный,Книги,,
2024-09-03 16:18:00,12896,33,покупка,поиск,десктоп,Канцелярия,320.0,1.0
2024-10-24 21:24:00,13284,7138,визит,соцсети,мобильный,Комиксы,,
2024-11-10 03:01:00,13652,5139,просмотр,поиск,мобильный,Канцелярия,,
2024-09-04 03:21:00,11531,1004,визит,реклама,десктоп,Подарки,,
2024-11-25 21:48:00,11463,559,визит,реклама,десктоп,Книги,,
2024-11-28 16:15:00,12930,7959,визит,реклама,мобильный,Канцелярия,,
2024-09-04 19:28:00,10873,6620,визит,поиск,мобильный,Книги,,
2024-10-18 13:10:00,11654,200,визит,соцсети,мобильный,Комиксы,,
2024-09-22 23:26:00,11042,6304,просмотр,поиск,десктоп,Подарки,,
2024-09-25 23:08:00,13286,8180,просмотр,реклама,мобильный,Книги,,
2024-10-13 03:33:00,11385,11627,визит,поиск,десктоп,Канцелярия,,
2024-11-03 02:27:00,10553,1744,визит,соцсети,мобильный,Книги,,
2024-10-30 02:55:00,12073,9261,визит,рассылка,мобильный,Канцелярия,,
2024-10-12 20:21:00,12365,5919,просмотр,соцсети,мобильный,Книги,,
2024-10-15 13:12:00,14132,3419,визит,соцсети,десктоп,Настольные игры,,
2024-09-22 11:29:00,10699,500,покупка,рассылка,мобильный,Настольные игры,5597.0,2.0
2024-10-08 05:37:00,11119,8029,визит,реклама,мобильный,Книги,,
2024-11-27 03:06:00,11311,11606,просмотр,поиск,десктоп,Книги,,
2024-10-31 20:49:00,12452,3088,оформление,соцсети,десктоп,Настольные игры,,
2024-10-14 17:27:00,11940,9517,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-17 09:17:00,10124,5478,корзина,соцсети,мобильный,Книги,,
2024-11-17 04:08:00,11507,6980,визит,соцсети,мобильный,Книги,,
2024-10-17 12:29:00,10080,11922,визит,соцсети,мобильный,Настольные игры,,
2024-09-22 20:41:00,13349,3190,просмотр,реклама,мобильный,Книги,,
2024-09-23 20:47:00,13351,9825,просмотр,рассылка,десктоп,Комиксы,,
2024-09-24 12:53:00,13571,6348,визит,поиск,мобильный,Книги,,
2024-09-16 04:21:00,13667,5891,просмотр,реклама,мобильный,Канцелярия,,
2024-10-30 04:13:00,10438,8503,визит,реклама,десктоп,Книги,,
2024-09-23 22:56:00,11750,9702,визит,поиск,десктоп,Канцелярия,,
2024-10-16 10:14:00,10573,8546,просмотр,поиск,мобильный,Настольные игры,,
2024-09-21 05:48:00,13041,10260,просмотр,поиск,десктоп,Подарки,,
2024-10-28 02:27:00,10908,10428,визит,поиск,десктоп,Подарки,,
2024-11-25 17:45:00,12089,1639,покупка,поиск,мобильный,Канцелярия,347.0,1.0
2024-10-29 11:49:00,11386,11650,просмотр,рассылка,десктоп,Подарки,,
2024-09-27 16:58:00,12793,6421,визит,поиск,десктоп,Настольные игры,,
2024-11-13 19:37:00,11297,6349,просмотр,поиск,десктоп,Подарки,,
2024-11-27 16:09:00,12783,9720,визит,поиск,десктоп,Комиксы,,
2024-09-17 08:52:00,12727,5187,просмотр,соцсети,мобильный,Книги,,
2024-10-08 02:30:00,12238,3051,просмотр,поиск,мобильный,Настольные игры,,
2024-10-26 19:12:00,12356,10901,визит,соцсети,мобильный,Канцелярия,,
2024-09-29 10:33:00,11881,5913,визит,соцсети,десктоп,Книги,,
2024-11-05 09:02:00,14159,6222,корзина,рассылка,десктоп,Книги,,
2024-09-30 20:49:00,12362,2755,визит,реклама,десктоп,Книги,,
2024-11-23 19:37:00,11821,18,оформление,поиск,десктоп,Книги,,
2024-10-01 08:36:00,10543,854,визит,реклама,мобильный,Канцелярия,,
2024-11-18 08:56:00,13859,7616,визит,реклама,десктоп,Канцелярия,,
2024-10-31 04:08:00,13074,10406,визит,реклама,десктоп,Канцелярия,,
2024-10-12 11:17:00,13416,5488,визит,рассылка,десктоп,Книги,,
2024-10-12 20:00:00,13958,6468,визит,реклама,десктоп,Комиксы,,
2024-09-22 03:06:00,11046,7985,визит,поиск,десктоп,Комиксы,,
2024-10-15 18:43:00,13799,5440,визит,рассылка,мобильный,Подарки,,
2024-11-10 11:41:00,11740,3709,корзина,рассылка,десктоп,Канцелярия,,
2024-10-17 01:51:00,13622,5303,визит,соцсети,мобильный,Настольные игры,,
2024-10-12 19:55:00,12259,5660,покупка,соцсети,десктоп,Подарки,2883.0,2.0
2024-11-08 12:22:00,13180,6712,просмотр,рассылка,мобильный,Книги,,
2024-11-06 00:19:00,12891,4575,просмотр,соцсети,десктоп,Книги,,
2024-11-12 18:59:00,11140,11419,просмотр,поиск,мобильный,Подарки,,
2024-10-16 14:13:00,13304,4825,визит,поиск,мобильный,Настольные игры,,
2024-10-14 18:07:00,12782,11529,визит,поиск,десктоп,Подарки,,
2024-09-07 03:30:00,10781,4963,визит,соцсети,мобильный,Канцелярия,,
2024-09-24 10:37:00,13176,5829,корзина,поиск,десктоп,Настольные игры,,
2024-10-20 14:10:00,12911,11125,визит,поиск,мобильный,Настольные игры,,
2024-11-21 21:14:00,12252,6793,корзина,поиск,мобильный,Книги,,
2024-10-11 08:31:00,13054,8094,визит,реклама,мобильный,Книги,,
2024-11-25 19:07:00,11989,9109,визит,реклама,десктоп,Книги,,
2024-11-22 08:28:00,10014,7785,визит,поиск,мобильный,Комиксы,,
2024-10-15 14:20:00,12636,6949,просмотр,рассылка,мобильный,Комиксы,,
2024-10-08 08:58:00,13953,1618,корзина,рассылка,десктоп,Комиксы,,
2024-11-17 15:21:00,11513,6677,оформление,рассылка,десктоп,Настольные игры,,
2024-10-10 16:13:00,11659,4642,визит,реклама,десктоп,Книги,,
2024-11-01 04:24:00,10455,5689,визит,соцсети,десктоп,Книги,,
2024-10-28 03:51:00,11303,5205,визит,рассылка,мобильный,Книги,,
2024-10-10 03:46:00,11145,2055,визит,соцсети,мобильный,Настольные игры,,
2024-09-16 03:09:00,13280,10395,просмотр,реклама,мобильный,Книги,,
2024-09-08 17:21:00,14060,10861,просмотр,поиск,мобильный,Настольные игры,,
2024-11-29 06:32:00,12288,6966,просмотр,соцсети,мобильный,Книги,,
2024-09-19 06:06:00,11469,10162,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-05 21:18:00,11204,7708,оформление,реклама,десктоп,Канцелярия,,
2024-11-16 08:11:00,11935,7465,оформление,поиск,мобильный,Комиксы,,
2024-09-23 22:30:00,12910,1883,просмотр,поиск,десктоп,Подарки,,
2024-11-27 11:02:00,10518,6838,просмотр,соцсети,десктоп,Канцелярия,,
2024-10-11 12:29:00,13532,4897,визит,поиск,десктоп,Канцелярия,,
2024-10-25 14:04:00,10561,3633,покупка,поиск,десктоп,Книги,983.0,2.0
2024-09-26 21:53:00,12181,6582,визит,соцсети,десктоп,Канцелярия,,
2024-09-06 00:20:00,10757,1118,визит,реклама,мобильный,Подарки,,
2024-11-20 07:42:00,10564,10663,визит,соцсети,мобильный,Книги,,
2024-11-01 05:03:00,11772,272,просмотр,реклама,десктоп,Комиксы,,
2024-11-05 10:20:00,10341,3156,визит,реклама,мобильный,Комиксы,,
2024-11-10 08:55:00,13834,5808,корзина,рассылка,десктоп,Настольные игры,,
2024-11-28 03:11:00,12182,11147,корзина,соцсети,мобильный,Книги,,
2024-09-08 22:00:00,12613,7059,просмотр,реклама,десктоп,Комиксы,,
2024-10-12 17:01:00,13382,15,покупка,поиск,десктоп,Настольные игры,4579.0,2.0
2024-10-03 18:19:00,10494,3779,визит,поиск,мобильный,Канцелярия,,
2024-10-30 18:23:00,12625,3605,оформление,поиск,мобильный,Канцелярия,,
2024-09-18 11:21:00,13455,11649,оформление,рассылка,мобильный,Канцелярия,,
2024-09-17 13:46:00,11414,67,визит,рассылка,мобильный,Книги,,
2024-11-19 00:12:00,13822,8722,просмотр,поиск,десктоп,Книги,,
2024-10-24 20:46:00,13268,4455,визит,поиск,мобильный,Книги,,
2024-11-13 19:14:00,13791,2728,визит,реклама,мобильный,Комиксы,,
2024-09-03 20:43:00,10451,2956,корзина,поиск,десктоп,Книги,,
2024-10-08 13:59:00,11770,11214,визит,реклама,десктоп,Канцелярия,,
2024-11-27 21:30:00,12650,8834,визит,реклама,мобильный,Канцелярия,,
2024-09-29 12:38:00,13049,7030,покупка,поиск,десктоп,Подарки,1684.0,2.0
2024-11-17 21:39:00,12478,10209,визит,реклама,мобильный,Книги,,
2024-09-24 13:39:00,13803,2286,визит,рассылка,десктоп,Книги,,
2024-11-29 01:54:00,13305,1366,визит,реклама,мобильный,Комиксы,,
2024-09-05 18:58:00,13577,5765,визит,реклама,десктоп,Канцелярия,,
2024-09-07 18:58:00,13897,6612,визит,поиск,мобильный,Подарки,,
2024-09-04 03:25:00,12064,4786,просмотр,поиск,десктоп,Книги,,
2024-10-28 11:32:00,13167,9141,корзина,поиск,десктоп,Комиксы,,
2024-11-20 19:09:00,11149,1463,визит,поиск,мобильный,Книги,,
2024-09-23 01:07:00,10881,1872,просмотр,реклама,десктоп,Книги,,
2024-09-03 00:12:00,13175,8303,визит,реклама,мобильный,Книги,,
2024-09-19 18:08:00,13524,4743,визит,соцсети,мобильный,Комиксы,,
2024-10-18 22:36:00,11682,5706,визит,соцсети,мобильный,Канцелярия,,
2024-10-09 05:19:00,10927,6540,визит,поиск,мобильный,Комиксы,,
2024-10-22 03:59:00,11101,3547,просмотр,соцсети,мобильный,Настольные игры,,
2024-11-03 00:02:00,14008,1290,оформление,соцсети,десктоп,Комиксы,,
2024-10-15 07:47:00,11147,6418,оформление,рассылка,десктоп,Комиксы,,
2024-10-30 15:58:00,11026,553,визит,поиск,мобильный,Комиксы,,
2024-09-01 07:04:00,13517,6060,визит,соцсети,мобильный,Книги,,
2024-11-01 01:18:00,12346,4127,корзина,поиск,мобильный,Настольные игры,,
2024-10-14 20:38:00,14119,9929,визит,реклама,мобильный,Комиксы,,
2024-10-22 10:44:00,14119,5476,оформление,реклама,десктоп,Комиксы,,
2024-10-05 05:34:00,10955,1988,визит,рассылка,мобильный,Книги,,
2024-11-21 05:38:00,10376,10751,просмотр,рассылка,мобильный,Комиксы,,
2024-09-17 06:05:00,13375,3908,визит,реклама,мобильный,Комиксы,,
2024-09-23 04:18:00,10430,358,визит,рассылка,мобильный,Книги,,
2024-09-25 02:29:00,11187,10251,визит,поиск,мобильный,Настольные игры,,
2024-11-21 17:12:00,13013,9231,просмотр,поиск,мобильный,Подарки,,
2024-09-30 09:07:00,10188,591,просмотр,рассылка,десктоп,Настольные игры,,
2024-10-16 11:48:00,12279,9643,просмотр,соцсети,десктоп,Книги,,
2024-09-01 21:04:00,12909,3389,визит,соцсети,мобильный,Канцелярия,,
2024-09-04 00:15:00,10767,11653,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-06 11:27:00,13913,4273,корзина,рассылка,десктоп,Настольные игры,,
2024-09-21 21:52:00,12069,8327,визит,реклама,мобильный,Книги,,
2024-10-12 21:59:00,10810,3473,корзина,поиск,десктоп,Подарки,,
2024-10-06 10:17:00,11640,2480,визит,поиск,десктоп,Книги,,
2024-10-14 08:40:00,12837,5182,корзина,соцсети,десктоп,Книги,,
2024-10-06 02:04:00,13870,11471,визит,поиск,мобильный,Подарки,,
2024-09-07 21:53:00,10820,9606,просмотр,соцсети,десктоп,Канцелярия,,
2024-10-01 23:03:00,13041,10793,визит,соцсети,десктоп,Канцелярия,,
2024-11-28 20:30:00,12809,2493,корзина,соцсети,мобильный,Книги,,
2024-10-26 18:12:00,10226,11427,просмотр,поиск,десктоп,Подарки,,
2024-10-11 10:59:00,12074,4282,визит,поиск,мобильный,Книги,,
2024-11-06 02:22:00,12103,4905,просмотр,соцсети,мобильный,Книги,,
2024-10-13 01:08:00,13387,9808,корзина,рассылка,десктоп,Канцелярия,,
2024-11-07 22:08:00,12650,4932,визит,реклама,мобильный,Книги,,
2024-11-19 10:34:00,13304,1360,визит,реклама,мобильный,Книги,,
2024-10-11 10:13:00,11795,2499,визит,соцсети,мобильный,Книги,,
2024-10-17 23:16:00,14148,5748,визит,поиск,мобильный,Книги,,
2024-11-22 06:57:00,13698,11803,просмотр,реклама,мобильный,Комиксы,,
2024-10-29 11:40:00,12660,2014,просмотр,поиск,десктоп,Канцелярия,,
2024-09-22 14:23:00,12044,2800,просмотр,поиск,десктоп,Канцелярия,,
2024-09-15 19:28:00,13640,10873,визит,реклама,мобильный,Книги,,
2024-09-04 08:52:00,10328,7393,корзина,соцсети,десктоп,Книги,,
2024-11-13 07:08:00,10339,6881,визит,рассылка,десктоп,Настольные игры,,
2024-09-17 18:27:00,11268,10159,просмотр,поиск,десктоп,Настольные игры,,
2024-10-09 18:33:00,12904,4236,просмотр,реклама,десктоп,Книги,,
2024-10-19 17:58:00,10832,2357,визит,поиск,мобильный,Канцелярия,,
2024-10-30 17:31:00,11474,11051,визит,соцсети,десктоп,Книги,,
2024-11-24 00:43:00,10629,3938,просмотр,соцсети,мобильный,Книги,,
2024-09-21 12:50:00,14111,8654,корзина,поиск,десктоп,Книги,,
2024-10-22 23:51:00,12996,6231,корзина,поиск,десктоп,Подарки,,
2024-10-30 17:33:00,11524,1133,просмотр,соцсети,десктоп,Книги,,
2024-10-09 13:00:00,11727,11782,просмотр,рассылка,мобильный,Подарки,,
2024-09-01 22:59:00,12527,11017,покупка,поиск,десктоп,Канцелярия,575.0,2.0
2024-09-29 11:41:00,11956,2123,просмотр,поиск,десктоп,Комиксы,,
2024-11-24 13:07:00,11246,6710,визит,поиск,десктоп,Книги,,
2024-11-23 23:14:00,12429,6320,просмотр,соцсети,мобильный,Книги,,
2024-11-25 13:24:00,12104,5839,просмотр,соцсети,десктоп,Книги,,
2024-10-27 07:24:00,13957,5359,визит,поиск,мобильный,Канцелярия,,
2024-11-18 23:11:00,13949,2077,оформление,рассылка,мобильный,Настольные игры,,
2024-10-30 10:06:00,11460,4842,визит,рассылка,десктоп,Настольные игры,,
2024-11-01 11:02:00,12489,99,визит,реклама,мобильный,Книги,,
2024-11-09 17:42:00,12621,10966,визит,реклама,мобильный,Настольные игры,,
2024-10-06 18:23:00,12800,6218,визит,поиск,мобильный,Книги,,
2024-09-19 05:16:00,10456,1489,визит,реклама,мобильный,Книги,,
2024-11-06 19:45:00,10586,1849,визит,соцсети,мобильный,Книги,,
2024-09-23 09:12:00,13726,9233,визит,соцсети,десктоп,Настольные игры,,
2024-11-17 06:59:00,12137,5253,визит,рассылка,мобильный,Настольные игры,,
2024-10-15 22:47:00,12058,1016,визит,соцсети,мобильный,Настольные игры,,
2024-09-30 11:15:00,13584,11004,визит,поиск,мобильный,Канцелярия,,
2024-11-01 11:43:00,10039,11885,визит,реклама,мобильный,Подарки,,
2024-11-08 23:31:00,13396,5539,визит,соцсети,десктоп,Подарки,,
2024-11-20 13:49:00,12906,9091,просмотр,рассылка,мобильный,Канцелярия,,
2024-09-02 03:31:00,12356,7576,просмотр,реклама,десктоп,Книги,,
2024-10-12 18:26:00,11278,7353,просмотр,соцсети,десктоп,Книги,,
2024-09-10 20:16:00,12504,10610,покупка,соцсети,десктоп,Подарки,2378.0,2.0
2024-09-26 05:35:00,13548,639,визит,соцсети,мобильный,Канцелярия,,
2024-10-03 05:19:00,11663,5336,просмотр,поиск,десктоп,Комиксы,,
2024-10-18 10:11:00,11873,4564,покупка,соцсети,десктоп,Канцелярия,632.0,2.0
2024-10-31 12:08:00,13880,9020,корзина,поиск,десктоп,Комиксы,,
2024-09-25 07:25:00,10079,4185,просмотр,реклама,десктоп,Книги,,
2024-10-29 14:19:00,11092,5799,просмотр,соцсети,мобильный,Настольные игры,,
2024-09-22 11:47:00,13202,9108,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-11 19:13:00,10339,8750,визит,реклама,мобильный,Комиксы,,
2024-11-11 13:25:00,10646,1819,просмотр,соцсети,десктоп,Книги,,
2024-10-29 14:51:00,12814,7359,визит,рассылка,десктоп,Настольные игры,,
2024-10-19 21:13:00,13331,11754,визит,реклама,мобильный,Комиксы,,
2024-10-25 23:44:00,13508,5825,визит,поиск,мобильный,Комиксы,,
2024-11-17 20:57:00,13870,2881,визит,реклама,десктоп,Подарки,,
2024-10-15 04:00:00,11982,5934,визит,соцсети,мобильный,Канцелярия,,
2024-11-14 15:16:00,12295,11064,корзина,поиск,десктоп,Книги,,
2024-11-08 09:16:00,11674,9480,визит,поиск,мобильный,Подарки,,
2024-10-20 08:56:00,12423,9503,визит,поиск,мобильный,Канцелярия,,
2024-10-04 13:19:00,11659,2492,покупка,поиск,десктоп,Настольные игры,2937.0,1.0
2024-10-02 08:35:00,12657,6062,визит,реклама,десктоп,Подарки,,
2024-10-17 01:21:00,12911,7474,визит,поиск,мобильный,Книги,,
2024-10-26 22:24:00,13210,7316,визит,реклама,десктоп,Книги,,
2024-10-15 01:53:00,11896,2227,визит,соцсети,мобильный,Книги,,
2024-10-21 12:23:00,11605,4445,визит,реклама,десктоп,Книги,,
2024-09-05 14:47:00,11788,7721,оформление,рассылка,десктоп,Книги,,
2024-11-15 08:45:00,13214,1421,оформление,поиск,десктоп,Книги,,
2024-10-13 22:01:00,13307,5123,просмотр,соцсети,мобильный,Книги,,
2024-10-17 13:31:00,10125,2157,корзина,поиск,мобильный,Настольные игры,,
2024-09-08 06:17:00,10983,4472,корзина,рассылка,десктоп,Книги,,
